M,C,d,L,R,T,N
0.997,24.42,0.743,83.821,1.11,2025-01-02 20:47:02,15.0
0.966,24.346,0.889,83.886,1.064,2025-01-02 20:47:02,15.0
0.978,24.182,0.721,84.233,1.015,2025-01-02 20:47:02,15.0
0.975,24.241,0.677,83.983,1.112,2025-01-02 20:47:02,15.0
0.962,24.356,0.645,83.57,0.99,2025-01-02 20:47:02,15.0
0.981,24.411,0.972,84.014,1.083,2025-01-02 20:47:02,15.0
0.973,24.169,0.777,83.983,1.078,2025-01-02 20:47:02,15.0
0.991,24.286,0.791,83.912,1.132,2025-01-02 20:47:02,15.0
1.01,24.361,0.526,84.123,1.138,2025-01-02 20:47:02,15.0
0.992,24.309,0.707,83.991,1.071,2025-01-02 20:47:02,15.0
0.996,24.382,0.502,83.718,1.096,2025-01-02 20:47:02,15.0
0.992,24.211,0.881,84.04,1.109,2025-01-02 20:47:02,15.0
0.957,24.271,0.495,83.872,1.025,2025-01-02 20:47:02,15.0
0.973,24.309,0.63,84.182,1.042,2025-01-02 20:47:02,15.0
0.96,24.314,0.805,83.576,1.057,2025-01-02 20:47:02,15.0
0.994,24.367,0.532,83.639,1.07,2025-01-02 20:47:02,15.0
0.991,24.372,0.737,83.97,1.067,2025-01-02 20:57:04,16.0
0.95,24.4,0.903,83.55,1.076,2025-01-02 20:57:04,16.0
0.962,24.314,0.595,83.88,1.099,2025-01-02 20:57:04,16.0
0.95,24.276,0.578,83.694,1.006,2025-01-02 20:57:04,16.0
0.973,24.34,0.66,83.739,1.064,2025-01-02 20:57:04,16.0
1.016,24.473,0.865,83.719,1.093,2025-01-02 20:57:04,16.0
0.994,24.284,0.649,83.822,1.128,2025-01-02 20:57:04,16.0
0.978,24.235,0.635,83.832,1.041,2025-01-02 20:57:04,16.0
0.974,24.283,0.551,83.717,1.108,2025-01-02 20:57:04,16.0
0.994,24.404,0.806,83.863,1.086,2025-01-02 20:57:04,16.0
0.968,24.354,0.952,83.882,1.046,2025-01-02 20:57:04,16.0
0.968,24.386,0.551,83.735,1.106,2025-01-02 20:57:04,16.0
0.979,24.339,0.736,84.002,1.079,2025-01-02 20:57:04,16.0
0.956,24.338,0.674,83.802,1.038,2025-01-02 20:57:04,16.0
0.972,24.272,0.79,83.782,1.15,2025-01-02 20:57:04,16.0
0.966,24.335,0.625,83.686,1.037,2025-01-02 20:57:04,16.0
0.983,24.328,0.594,83.98,1.109,2025-01-02 20:57:04,16.0
0.972,24.356,0.819,84.011,1.016,2025-01-02 20:57:04,16.0
0.965,24.244,0.634,83.695,1.062,2025-01-02 20:57:04,16.0
0.99,24.396,0.574,83.686,1.115,2025-01-02 20:57:04,16.0
1.024,24.25,0.458,84.012,1.06,2025-01-03 11:25:54,17.0
0.954,24.23,0.47,83.883,1.078,2025-01-03 11:25:54,17.0
0.987,24.178,0.505,84.019,1.073,2025-01-03 11:25:54,17.0
0.991,24.345,0.378,84.016,1.075,2025-01-03 11:25:54,17.0
1.001,24.191,0.75,83.893,1.122,2025-01-03 11:25:54,17.0
1.0,24.247,0.541,84.214,1.05,2025-01-03 11:25:54,17.0
0.954,24.219,0.454,84.078,1.025,2025-01-03 11:25:54,17.0
0.976,24.311,0.557,83.905,1.077,2025-01-03 11:25:54,17.0
0.976,24.254,0.62,84.42,1.118,2025-01-03 11:25:54,17.0
1.019,24.251,0.654,83.883,1.145,2025-01-03 11:25:54,17.0
0.977,24.339,0.55,84.054,1.074,2025-01-03 11:25:54,17.0
0.956,24.214,0.54,84.0,1.133,2025-01-03 11:25:54,17.0
0.986,24.226,0.542,84.187,1.083,2025-01-03 11:25:54,17.0
0.962,24.271,0.417,83.877,1.076,2025-01-03 11:25:54,17.0
0.999,24.408,0.769,83.985,1.143,2025-01-03 11:25:54,17.0
0.941,24.311,0.473,84.019,0.986,2025-01-03 11:25:54,17.0
0.995,24.321,0.461,84.213,1.009,2025-01-03 11:25:54,17.0
0.983,24.322,0.441,83.955,1.042,2025-01-03 11:25:54,17.0
0.973,24.126,0.542,84.205,1.053,2025-01-03 11:25:54,17.0
0.978,24.194,0.402,84.092,1.046,2025-01-03 11:35:57,18.0
0.999,24.301,0.538,83.909,1.063,2025-01-03 11:35:57,18.0
0.967,24.246,0.389,83.915,0.995,2025-01-03 11:35:57,18.0
0.966,24.33,0.278,83.783,1.015,2025-01-03 11:35:57,18.0
1.007,24.376,0.888,84.051,1.033,2025-01-03 11:35:57,18.0
1.003,24.223,0.392,84.164,1.062,2025-01-03 11:35:57,18.0
1.012,24.226,0.566,84.171,1.091,2025-01-03 11:35:57,18.0
0.992,24.203,0.357,83.822,1.048,2025-01-03 11:35:57,18.0
1.005,24.304,0.475,83.892,1.104,2025-01-03 11:35:57,18.0
1.018,24.316,0.798,84.144,1.034,2025-01-03 11:35:57,18.0
0.97,24.244,0.542,84.147,1.052,2025-01-03 11:35:57,18.0
0.998,24.252,0.462,84.017,1.056,2025-01-03 11:35:57,18.0
0.978,24.302,0.415,83.883,1.09,2025-01-03 11:35:57,18.0
1.008,24.274,0.452,83.787,1.1,2025-01-03 11:35:57,18.0
0.97,24.273,0.451,83.92,1.092,2025-01-03 11:35:57,18.0
0.984,24.3,0.344,84.132,1.039,2025-01-03 11:35:57,18.0
0.999,24.194,0.406,84.013,1.058,2025-01-03 11:35:57,18.0
0.998,24.262,0.38,84.062,1.018,2025-01-03 11:35:57,18.0
0.976,24.338,0.721,83.737,1.085,2025-01-03 11:35:57,18.0
0.991,24.385,0.366,84.07,1.07,2025-01-03 11:35:57,18.0
0.981,24.309,0.698,83.963,1.061,2025-01-03 11:46:00,19.0
1.009,24.181,0.59,84.239,1.068,2025-01-03 11:46:00,19.0
0.977,24.272,0.692,84.343,1.102,2025-01-03 11:46:00,19.0
0.973,24.395,0.765,83.582,1.038,2025-01-03 11:46:00,19.0
0.962,24.291,0.652,84.051,0.933,2025-01-03 11:46:00,19.0
0.986,24.312,0.709,83.846,1.072,2025-01-03 11:46:00,19.0
0.972,24.34,0.632,83.635,1.03,2025-01-03 11:46:00,19.0
0.971,24.342,0.703,83.775,0.974,2025-01-03 11:46:00,19.0
0.981,24.305,0.723,83.886,1.144,2025-01-03 11:46:00,19.0
1.001,24.179,0.548,83.876,1.244,2025-01-03 11:46:00,19.0
0.959,24.17,0.772,83.491,1.053,2025-01-03 11:46:00,19.0
0.984,24.305,0.543,83.7,1.026,2025-01-03 11:46:00,19.0
0.961,24.18,0.73,83.534,1.094,2025-01-03 11:46:00,19.0
0.969,24.221,0.808,84.175,1.013,2025-01-03 11:46:00,19.0
0.981,24.21,1.047,84.205,1.085,2025-01-03 11:46:00,19.0
1.016,24.26,0.833,84.201,1.071,2025-01-03 11:46:00,19.0
0.956,24.343,0.688,83.606,1.116,2025-01-03 11:46:00,19.0
0.979,24.394,0.623,84.051,1.071,2025-01-03 11:46:00,19.0
1.002,24.386,0.609,83.794,1.141,2025-01-03 11:51:02,20.0
0.971,24.315,0.532,83.806,1.164,2025-01-03 11:51:02,20.0
1.027,24.344,0.675,83.789,1.199,2025-01-03 11:51:02,20.0
0.979,24.365,0.704,83.868,1.046,2025-01-03 11:51:02,20.0
0.957,24.369,0.633,83.991,1.079,2025-01-03 11:51:02,20.0
1.01,24.283,0.606,84.001,1.086,2025-01-03 11:51:02,20.0
0.98,24.257,0.63,84.028,1.117,2025-01-03 11:51:02,20.0
0.991,24.276,0.53,83.805,1.155,2025-01-03 11:51:02,20.0
0.957,24.347,0.74,83.818,1.068,2025-01-03 11:51:02,20.0
1.04,24.437,0.474,84.043,1.131,2025-01-03 11:51:02,20.0
0.985,24.384,0.674,83.968,1.012,2025-01-03 11:51:02,20.0
0.962,24.329,0.72,83.804,1.042,2025-01-03 11:51:02,20.0
0.972,24.264,0.519,84.061,1.036,2025-01-03 11:51:02,20.0
0.969,24.265,0.64,83.891,1.079,2025-01-03 11:51:02,20.0
0.999,24.274,0.624,84.157,1.091,2025-01-03 11:51:02,20.0
0.986,24.396,0.654,83.886,1.07,2025-01-03 11:51:02,20.0
1.015,24.455,0.57,83.868,1.163,2025-01-03 11:51:02,20.0
0.957,24.189,1.078,84.121,1.086,2025-01-03 11:51:02,20.0
1.025,24.237,0.603,84.026,1.148,2025-01-03 11:51:02,20.0
0.941,24.248,0.796,83.998,1.039,2025-01-03 11:56:03,21.0
0.997,24.351,0.597,83.891,1.094,2025-01-03 11:56:03,21.0
0.966,24.133,0.506,84.021,0.995,2025-01-03 11:56:03,21.0
0.992,24.31,0.599,84.053,1.017,2025-01-03 11:56:03,21.0
